comment;kelas
terimakasih grab untuk promo yg nyantol di inbox aku sungguh haru bkin pgn isi ovo terus grabfood tiap hari;positive
kenapa layan grabcar sekarang gak nyaman sama sekali ya;negative
daftar grab bike area bandung sudah tutup kah;netral
gw pake grab layan selalu muas cepat waktu dan tanggap terimakasih grab;positive
grab aplikasi eror nih ovonya ilanggg;negative
maaf mau tanya skrg grabfood pengamtaran nya apakah bs ya di alamat beda;netral
mantap grab lagi banyak promo bulan ini terimakasih bnyk ngab min untuk promo;positive
min kenapa helm helm grab bike suka pada bau jadi ga nyaman;negative
min kode promo grab food ovo apa;netral
terimakasih min sering adain promo ya kami para customer senang kalo grab sering kasih promo pas akhir bulan gini;positive
gmna driver sameday yg hilang barang mangga dua masa iya tanggungjawab driver masa iya grab tidak punya tanggungjawab;negative
mau tanya pagi ini grab sameday gak muncul ya di kirim ada yang tau;netral
grab sukses selalu selalu ada di saat di butuh;positive
min saya isi saldo ovo via m banking nomor sudah sesuai tapi saldo ovo gak isi tolong tindak lanjut;negative
kalo pesen grabfood biaya parkir itu di tanggung sama driver atau mesen sih min kadang ko ada driver yg minta di bayarin biaya parkir kadang ngga minta di bayarin;netral
terima kasih grab skrg ban ban udh ada di grabfood senang sekaliiiii;positive
kenapa kalo driver grabfood di jakarta terima order tp ga muncul padahal sdh selesai order dan saldo ovo nya sudah potong udah jadi dua kali dalam bulan ini ovo saya potong tp drivernya ga dtg anter makan;negative
daftar driver bike lewat online bisa gak ya;netral
terima kasih grab akhir dapet saldo ovo jutaaa;positive
tarif naik promo cepet hbis msih jam sore voucher uda hbis sungguh uras kantong mahasiswa;negative
kalo mau beli jaket model baru gimana min;netral
terimakasihh layan grab express sangat bantu saya dalam pengiriman barang dagang saya kecustomer saya;positive
ini kenapa udh hari g ada promo g ada potongn sama sekali;negative
min ini saya naik grabbike pake reward ptng rb biaya jalan rb harus rb kok ada biaya lain ya biaya lain ini apa;netral
terimakasih berkat grab saya bisa lebih ngirit bulan ini karena promo dari kalian hehe;positive
grab expres grabfood tidal bisa top up ovo kesel;negative
min kirim gitar pake grab express bisa ngga ya;netral
terimakasih grabfood makan siang saya hari ini lumayan enak berkat vocher grabfood dari kalian;positive
niat bikin promo gak min grabfood pk ovo kode kgk bisa digunain semua ket bayar pk metode ini tolak;negative
knp sih promo grabfood gabisa d pke pdahal batas nya sampe jm mlm sering loh ak jarang dpt promo;netral
luar biasa grab terimakasih untuk promo promonya moga berkah dan makin sukses;positive
lagi jalan negor driver grab karna spion motor bikin silau ke belakang eh malah dikatain belagu padahal negornya udah baik baik;negative
tarif grab naik ya;netral
wow sangat suka semua fitur nya grab mulai dari promo yg super banyak terimakasih grab sukses terus;positive
naik harga nya kok drastis banget ya saya biasa ke sekolah k sekarang malah jadi k;negative
grab lgi knpa dah;netral
salam satu aspal mitra driver khusus nya perempuan dont give up guys meski berat tantang jalan yang penting niat ibadah dalam kerja salut perempuan;positive
saldoo ovo point aku ilang gatau buat pembayaraan apa;negative
bisa gk pesan makan nya engga ada di aplikasi grab food nya;netral
pokok puas dg grab ramah bgt bnyak promo trutama bt ank sya bsa tau smp apa blom pkoknya aman deh mksh bnyak grab;positive
gimana mau pada naik grab kalau harga naik drastis banget;negative
daftar grabike jabodetabek kpn buka lagi ya;netral
barusan aja dapet driver grab perempuan dan bagai lelaki saya nawarin buat ngendarain motor enak driver perempuan tu ngobrolnya ga renti jadi ga bosen jalan semngat cari rezeki bu;positive
grab jahad promonya jadi cashback ke ovo point bukan diskon lgi;negative
normalin harga lagi dooooong;netral
tambah pilih ladydriver di aplikasi nya jd untuk para wanita muslimah yg ga mau di antar dgn laki bisa pilih driver wanita;positive
kenapa sih ongkos itu ke tempat yg sama hari ini k besok uda beda aaja ikhhhh;negative
ada yg tau grabfood promo untuk hari ini;netral
semangat cari rejeki babang grab semangat dan santuy;positive
udh top up ke abang grabnya trus ga masuk ke ovonya ini gmn;negative
miiiin grab wheels di jakrata diamna aja yaa yang udah adaaa mau nyobaiiiin;netral
terima kasih grabb kamu nemudahkan kuhh;positive
tolong aplikasi lot banget gileeee saya bagai guna grab tiap hari ganggu banget;negative
kapan saya dapat jaket baru;netral
terima kasih grab moga maju terus dan makin bantu dalam layan masyarakat;positive
grab car kenapa ga ada promo sih;negative
min daftar grab bike di kota medan sudah buka;netral
terima kasih grab selalu mampu mudah jalan dalam selesai urus urus;positive
halo kok saldo ovo saya hilang ya padahal masih ada sisa;negative
tolong tambah fitur tip di grabfood;netral
terimakasih grab layan grabfood sangat membantu di saat saya lapar;positive
min ngapain ngasih voucher promo kalo dipakepun gak bs malah tulis tidak valid atau udh habis pakai padahal pakai sekalipun aja bom;negative
min sekarang grabfood ga bisa liat peta cara live ya;netral
mantapp tolong promo bnyk lgi kami para kaum hemat alias anak kost sngt buth promo tiap akhir bulan;positive
kenapa skrg pilih rute grab ngaco ya yg biasa harus cuma km dan ongkos rb blm promo skrg jadi rb blm promo karena pilih rute beda dr biasa rute yg pilih sangat jauh dan muter tolong baik sistem harga naik tapi sistem malah jadi ga becus;negative
min mau tanya ovo saya kok tidak hubung ke grab ya padahal no hp sama cuman email nya nya beda apa itu faktor nya ya;netral
bangga jadi mitra grab;positive
tolong app nya jgn eror trs sy klo pagi susah bgt krn grab eror yaallah;negative
ko gabisa topup pake bca lg error apa gimana;netral
thanks ya grab karena kamu prjalanan saya kantor jdi semakin cpt dan gk bikin terlambat;positive
kenapa tiba tiba tarif harga jadi naik ya terus kode promo suka gabisa dipake;negative
sekarang grabwheels udah gak ada lagi ya di daerah jaksel;netral
makin keren euy grab bangga jadi mitra;positive
grab aplikasi eror nih ovonya ilanggg;negative
min kalo daftar grab tapi ktp nya masih di belum jadi apakah bisa pakai resi ktp;netral
makasih promo grabfood ngab sukses terus buat grab;positive
kenapa si tiap mau top up ovo slalu ga bisa suruh ke driver slanjutnya;negative
kok di sby gk ad promo grab bike ya min;netral
mantap grab promonya luar biasa bulan ini terimakasih grab sya makin cinta;positive
tarif naik mulu promo di jam jamin gilir dipake sesuai jam eh kaga bisa;negative
moga bisa lebih baik lagi depan dan tidak sembarang untuk kerja driver baru harus lalu tahap nyaring yang serius demi indonesia maju;netral
mantap grab makin gacor cor sukses terus grab;positive
baru aja topup ovo terus mo pesen makan udah pilih makan mo checkout blm klik apa saldo potong kenapaa;negative
tambah fitur grabtruck dongg;netral
pahlawanq bangett ini apalagi driver grabfood yg telh mengantar san makan sya saat saya lapar gini;positive
saya ingin lapor layan driver kecewa etika kasar kepada konsumen;negative
min tolong kasih fitur untuk lihat siapa customer yang beri bintang bintang masa layan bagus terkadang customer nya iseng ngasih bintang;netral
bagus dah kalau naik mah karna tarif grab yg dulu murah bangett ojol juga butuh makan harga pangan aja naik masa ongkos ojol gitu gitu aja murah;positive
grab kenapa ya mau putus mitra kok susah hampir bulan;negative
promo grabcar apa ya min;netral
terimakasih grab promonya membuat saya hemat kami menjadi senang;positive
grab saya tidak bisa order grab bike dan grab car ihh kenapa ya;negative
min tanya kodepromo grab expres apa nih;netral
saya dapat abang grab yang wangi ramah mntp grab;positive
order grabcar barusan abang blm sampe di titik jemput tapi sudah geser duluan saya liat maps abang sudah jalan ke lokasi antar saya telp gadiangkat kecewa syekaliiiiiiiiii;negative
info promo grabbike;netral
saya pernah dapet abang grab dia sopan banget ramah juga nama sidik maulana;positive
pesan food saya selesai driver tanpa antar ini error apa drivernya g professional;negative
saya isi ovo tapi gabisa dipake kenapa yaa;netral
terimakasih babang driver yg sdah antar sya kantor pgi ini dngn plyan yg ramah pda customer;positive
promo di sana di sini udah top up ovo saldo nya ga bisa di pake di email ga ada solusi wajar nyentuh decacorn nipu konsumen;negative
klo dah dpt tas grabfood jd gk bs bawa orang lg klo gitu atau emang khusus grabfood saja tp fitur grab bike gk bs dimatiin di app driver kok bs gitu yah;netral
makasih min sukses trs untuk grab semoga slalu memberi layan terbaik;positive
mesan grab sekarang susah banget maaf pesan anda sedang penuh tunggu beberapa saat lagi;negative
kenapa sy ga bsa ngasi rating ke driver mohon solusi karena driver butuh review trhdp layan yg sudah berikan kpd customer;netral
banyak promo ko tetep aja murah;positive
naikin harga nya edan edan nan apalagi grabcar jarak yg cmn km klo malem jadi k ampun deh;negative
cara beli promo gmnnn ada tau;netral
sukses terusuntuk layan grabfood semoga mkin gacors;positive
grabfood lagi error ya tp ovonya potong;negative
kok grabcar pada gak bsa pesan ya busy terus;netral
saya cukup puas dengan naik tarif yg sekarang karena harga segitu sudah banding dengan kerja mereka yang jemput kita di depan rumah dan di antar dengan selamat belum lagi resiko mereka di jalan dari sampai macet bahkan celaka yg ancam nyawa mereka;positive
bos kenapah saldo grab sayaa tiap hari ke sedot terus;negative
grab lg kenapa ya kok ga dapet driver terus saya;netral
alhamdulillah argo naik saya bangga bagai customer dan juga driver;positive
knp tarif grab makin ababil yaa ga ada ujan tau tarif naik drastis n blg minta klo gin truss maap deh ku ga bs setia lg sm kamu;negative
astagfirullah naik dikit aja ko ngeluh;netral
moga rejekinya semua abang grab makin lancar ya sukses selalu;positive
ovonya kok ilang sihh mau pesen grabfood padahal gapunya cash ada ovo;negative
kapan info buka daftar grab bike di cibubur;netral
terimakasih grab saya daftar mitra gak pake lama;positive
saya ingin lapor tindak driver grab kurang ajar dengan kendara lain hingga celaka pakai mobil tidak sesuai aplikasi;negative
min kode promo grab food ovo apa;netral
ngaduin keluhan dapat respon yg sangat cepat sekali oleh adminnya mantap;positive
naek grab drivernya tdk sopan next klo pilih driver d cek dlu;negative
tambahin kuota promo grabbike;netral
mantap grab promonya selalu ada terus setiap bulan sya senang sekalee sebagai customer grab;positive
grabfood yg skrg agak kecewa karna driver kirim makan tempat jd makan yg sampai udah dingin order pizza jg sampe rumah udah dingin order sampe rumah jam an;negative
min grab bike lg ga ada promo ya;netral
saya suka pakai aplikasi grabsaya suka sngt mudah gunain dan warna saya suka gak bikin sakit mata;positive
ngapain ngadain promo grabike kalo ngga bisa dipake padahal syarat dan tentu sudah penuh php aja;negative
min jakarta udh buka blom buat grabcar nya;netral
sya dapat abang grabcar bawa mobil nyaman sekali terimakasih grab;positive
saya tukar point grab dengan grabpulsa tapi dari kemarin sampai saat ini tombol use now tidak bisa guna mohon bantu agar bisa segera pakai karena point saya sudah potong;negative
grabcar blm ada promo lg ya;netral
semangat untuk semua abang yg juang keras demi keluarga moga beri sehat dan rejeki yang limpah berkah;positive
skrg banyak lho driver grab bike yg helm pada rusak tdk safety rasa tdk aman kl jalan seperti helm cmn dar biar aman gak tilang tp buat tumpang yg naik grab bike bikin khawatir degan jalan;negative
mau donk info daftar grab gimana;netral
terimakasih grab tolong saat dompet tipis bisa jadi samping;positive
pesen grabfood error mulu dahhhh;negative
ada yang tau promo grabbike bulan january gak;netral
terimakasih grab restoran saya sudah di ada grabfood sekarang;positive
promo grab tidak konsisten yang kata nya bisa di pakai sampai jam malam yang ada nyata nya bisa di pakai smpai jam pagi saja;negative
jangan lupa sama mimpi mitra mu min;netral
sering sering ngadain kuis min untuk dapat promo;positive
knp ya voucher yg grab bike ga bisa pakai ada tanda merah gtu toling ya voucher promonya blm bisa guna ehh pas siang atau bsk nya voucher sudah habis knp ya suka gtu padahal tgl nya yg minggu kemarin sampai tgl tuh tdi pas ada notif sama kya gtu lagi;negative
min kenapa di akun saya ada telfon dri grab driver padahal saya lg ga order grab;netral
respon adminnya sangat cepat sekali dalam menanggapi laporan saya;positive
percuma kasi promo grabfood banyak ga ad pun yang bisa di pake jadi niat kasi promo ke cust ga nih min;negative
min kok d app aku fitur langgan grabcar ga ad ya ada cuma grab express;netral
sekarang ngantar barang antar dalam satu kota cukup pakai grabexpress aja tidak perlu pakai ekspedisi lain;positive
anjir grab kasih promo grabfood g ada guna;negative
kok kode promo bakuloke atau makan oke gak bisa pakai;netral
alhamdulillah sekarang sudah jadi mitra grabfood dngn layan yg begitu cepat;positive
hi grab mau lapor driver nakal nih paket saya yg antar oleh grabexpress instant belum juga sampai dan saya terima padahal kerja kirim telah selesai oleh driver;negative
mas mau tanya bagaimana cara daftar grabfood tolong donk mas;netral
terima kasih grab akhirnya insentiv saya turun juga;positive
tarif naik kode promo gak bisa guna kembali pake angkut umum;negative
jangan cuman makmurin tumpang doang dengerin driver juga perhatiin;netral
terimakasih mas driver rama sekali;positive
aplikasi bug terus tiap mau pesen selalu keluar sendiri;negative
ada info lagi engga utk domisili cimahi kapan buka pendaftaran grab;netral
terimakasih pak sudah nganterin walaupun jaraknya agak jauh ttp smngt cari rezeki;positive
grab tolong ni gimana driver bisa ngambil order langsung saya pesan grabfood dah munggu masih harus nunggu order orang lain;negative
kenapa ia akun grab driver ku sepi padahal sudah muter ke tempat ramai masih aja sepi;netral
terimakasih banyak masnya yg udah nganterin saya semoga lancar rezeki;positive
promonya gak bisa digunain bangkrutlahh akuuuu;negative
tunggu ya kak nanti grabwheels akan sedia di seluruh kota;netral
cepat sekali masnya nganterin makanan saya walaupun jaraknya jauh;positive
ini kenapa akun saya di suspen tanpa pemberitahuan bgsd;negative
kok grab uda mau bulan tidak ada promo grabcepat grabhemat ovojkt dll nya;netral
mau cuci ac di layanan grab ajah yg lebih murah;positive
grabclean jasa tolong refund uang saya sudah book pagi ini jam tapi caecilia lina sagita tidak ada kabar status wa online saya telp direject tolong refund uang saya;negative
siang min mau tanya kalo main grab wheels dalam aplikasi hanya bisa di guna untuk grab wheels atau lebih min;netral
tadi saya dapat abangnya yang baik dia ngucapin hati hati dijalan;positive
aplikasi bug terus suka keluar sendiri tolong perbaiki;negative
grab car bisa jemput d bandara soetta ga;netral
berkat ada grab saya tidak perlu khawatir untuk terlambat brngkt kerja;positive
grab driver lagi eror hai grab tolong kita bukan boneka kalian gara gara eror jadi gak bisa narik mau dapat hasil dari mana;negative
minnn ini grab error apa gim kok gabisa order saya coba dri hp beda gak bisa jugaaa;netral
terimakasih saya sudah terima rewards ovo;positive
aplikasi grab driver taikk ga bisa nyelesain order kalo ga sesuai titik tuju kesulitanya banyak kalo tumpang tujuanya suka beda sama tuju aplikasi kadang tuju suka gaada sinyal susah harus selesai sesuai tiitik sekarang grab ;negative
ada gak yg tiap buka aplikasi grab nya sangat lemot;netral
terimakasih kaka septi rewadrnya udah ada gak jadi murtad sama grab tipe setia kok akumahhhhhhh;positive
grab bukan produk karya indonesia;negative
klo mau daftar mitra grab bike gmn ya tq;netral
sekarnag tampilan aplikasinya bagus di banding yang sebelumnya;positive
kenapa sekarang promo grabbike nggak ada sama sekali aku ubek ubek notifikasi itu nggak ada padahal butuh banget loh;negative
tanya min kok tiap kode promo yg saya masukin selalu gak bisa ya sudah sesuai tentu jg padahal;netral
pelayannya bagus abanggya ramah sekali tidak ngebosanin dijalan jadinya;positive
fitur platinum yg priority booking tidak guna;negative
min ini saya mau nuker grab points voucher yang grab ride itu berlaku buat naik grabcar ya;netral
naik grabcar mobil abangnya wangi banget aslii;positive
grabfood kecewa kemudi minta tambah biaya gasesuai dengan harga asli;negative
bisa gak sih sistem di driver jd ga pilih setting order biar kita klo pesen food ga susah nyari driver;netral
fitur ksh tips buat grabfood aktifin dunk min kadang suka beli pake ovo ga punya cash kasihan klo ga bsa ksh tips;positive
grabfood kecewa kemudi minta tambah biaya gasesuai dengan harga asli;negative
grabbike udah gada promo kah;netral
promonya perlu dibanyakin buat grabbike biar customer seperti kami senang;positive
min saya grab send gak beers sih kirim paket blibli gakada paket yg sampe rumah saya kok udh ada email barnag terima;negative
untuk layan grabfood apakah bs buat pilih tips untuk driver;netral
alhamdulillah paket saya cepat sampai pakai layan grabexpress;positive
jasa online parah;negative
paket hemat grabcarnya mana min;netral
beli pulsa skrng dngn mudah cukup beli layanan di aplikasi grab;positive
kak saldo ovo saya kok bisa hilang cuk;negative
mau tanya knp ya voucher bakuloke untuk wilayah jambi g bsa di pakai;netral
banyak promo banyak rezeki alhamdulilah;positive
jangan daftar grab kamu akan sia sia sekarang order lagi sulit;negative
permisi mau tanya saya sudah redeem voucher diskon points tapi lupa di copy paste simpan codenya itu gimana ya;netral
tolong kalau kasih promo jangan tega banget kasihan driver kemudi dapat gak berapa belum lagi potong biaya bensin yg pakai tiap jalan tolong perhati nasib driver;positive
min ko saldo ovo saya belum balik jg udah beberapahari ni;negative
maaf grab ngasih himbaun ga sih ke kendara agar jangan naik ke trotoar lawan arus maupun parkir di tempat sembarang;netral
semenjak ada grabfood lumayan bisa makan enak dgn harga discount;positive
saya sen paket kfc yang ada cd nya tapi pas udh datang dan di buka di rumah gk ada cd nya kecewa saya;negative
admin bagaimana cara ganti nomor ovo soal saya sudah ikut petunjuk yg di apps ttep ga bisa;netral
rezeki gk bisa di tebak mas gk semua sulit kita gk tau rezeki orang yg penting usaha dan doa;positive
masuk utk grabfood klo buat promo tolong pasti restoran nya siap terima order masa pesan hokben id salad bowl aja hampir jam payaaaaahhh;negative
min bisa ga sih bayar default tunai gue tadi ga ngeliat kalo bayar pake ovo pdhl mau tunai;netral
terus tingkat kualitas grab ya;positive
grab expres kok pasti eror ya;negative
kapan bisa pesan grab car di bandara a yani semarang saat ini harus keluar area bandara dulu;netral
topup ovo udah gak perlu ribet pakai mbanking skrng udah bisa lgsg ke abang;positive
grab mana nih tanggung jawab delivery adik saya tidak di antar ke tempat yang harus dan trip sudah di end trip belum tiba di tempat;negative
apakah masih ada peluang untuk para mitra yang kena putus mitra;netral
terimakasih grab sekarang isi token listrik bisa lewat aplikasi grab;positive
top up sering error;negative
saldo ovo dan grab ngga connect gmn y;netral
itu biasa driver yg gak pulang alias nginep di jalan paling diomongon langsung aja ke drivernya jangan sampai gak pulang;positive
maaf kok akun grab saya tangguh tanpa alas jelas dan saldo ovo saya ludes semua ini maksud gimana ya;negative
min apakah masih ada daftar untuk driver grab apakah bisa datang langsung ke kantor tanpa lalu daftar online sudah hari saya sudah coba untuk daftar online namun tidak ada lanjut tolong bantu min;netral
grab itu teman tualang ku ada grab di tiap hari hari ku terima kasih grab telah jadi sahabat setia ku;positive
kenapa si driver grab ada yg kurang ajar nilep jaket orang ini jaket saya anter pake grab express ga sampe dan gabisa dihubungin karena nomor palsy;negative
klo daftar grab ada batas kuota gak min;netral
terimakasih  ada layan cepat min kpd customer;positive
kenapa grab sekarang gak ada promo grabfood lagi;negative
miin pesan grabfood gak bisa bayar pake saldo ovo ya;netral
moga grab sisih duit buat didik driver grab yang suka lewat trotoar ato lawan arus;positive
driver grab yg ngerampas hp anak kecil tolong segera di tindak lanjut cuk;negative
min saya td beli paket grabfood tp sya batalin kok saldo belum kembali ya;netral
terimakasih grab beli tiket bisa melalui aplikasi;positive
min kok bayar pake ovo bayar tolak serius nanya;negative
gimana si cara biar topp up ovo sama driver tapikita gamau pergi git;netral
driver grabbajay kasi helm juga biar keren kalo ngebox biar aman;positive
sekarang tarif grab naik trus promonya juga banyak gak bisa dipake;negative
promo grab bike adain perlu banget ini;netral
gerak cepat juga ya grab wkwk inovasi baru;positive
tolong grab gimana si udah ngisi ovo hasil tapi ga bisa di aktifin trus mama saya juga ngisi udah hasil malah ga ada saldo nya komplen malah di read doang coba minta tanggung jawab pihak grab;negative
tolong ya untuk para driver kalau ngtem kalau bisa jgn di lahan parkir toko orang lain kasi customer yang mau datang jadi agak susah masuk ke parkir kita sama cari rejeki uang;netral
